# p(bar) bp(C) v(m^3/kg) rho(steam, kg/m^3) Hw(kJ/kg, kcal/kg) Hs(kJ/kg, kcal/kg) Hv(kJ/kg, kcal/kg) Cp(kJ/kg K)

0.02	17.51	67.006	0.015	73.45	17.54	2533.64	605.15	2460.19	587.61	1.8644
0.03	24.10	45.667	0.022	101.00	24.12	2545.64	608.02	2444.65	583.89	1.8694
0.04	28.98	34.802	0.029	121.41	29.00	2554.51	610.13	2433.10	581.14	1.8736
0.05	32.90	28.194	0.035	137.77	32.91	2561.59	611.83	2423.82	578.92	1.8774
0.06	36.18	23.741	0.042	151.50	36.19	2567.51	613.24	2416.01	577.05	1.8808
0.07	39.02	20.531	0.049	163.38	39.02	2572.62	614.46	2409.24	575.44	1.8840
0.08	41.53	18.105	0.055	173.87	41.53	2577.11	615.53	2403.25	574.01	1.8871
0.09	43.79	16.204	0.062	183.28	43.78	2581.14	616.49	2397.85	572.72	1.8899
0.1	45.83	14.675	0.068	191.84	45.82	2584.78	617.36	2392.94	571.54	1.8927
0.2	60.09	7.650	0.131	251.46	60.06	2609.86	623.35	2358.40	563.30	1.9156
0.3	69.13	5.229	0.191	289.31	69.10	2625.43	627.07	2336.13	557.97	1.9343
0.4	75.89	3.993	0.250	317.65	75.87	2636.88	629.81	2319.23	553.94	1.9506
0.5	81.35	3.240	0.309	340.57	81.34	2645.99	631.98	2305.42	550.64	1.9654
0.6	85.95	2.732	0.366	359.93	85.97	2653.57	633.79	2293.64	547.83	1.9790
0.7	89.96	2.365	0.423	376.77	89.99	2660.07	635.35	2283.30	545.36	1.9919
0.8	93.51	2.087	0.479	391.73	93.56	2665.77	636.71	2274.05	543.15	2.0040
0.9	96.71	1.869	0.535	405.21	96.78	2670.85	637.92	2265.65	541.14	2.0156
1	99.63	1.694	0.590	417.51	99.72	2675.43	639.02	2257.92	539.30	2.0267
1.1	102.32	1.549	0.645	428.84	102.43	2679.61	640.01	2250.76	537.59	2.0373
1.2	104.81	1.428	0.700	439.36	104.94	2683.44	640.93	2244.08	535.99	2.0476
1.3	107.13	1.325	0.755	449.19	107.29	2686.98	641.77	2237.79	534.49	2.0576
1.4	109.32	1.236	0.809	458.42	109.49	2690.28	642.56	2231.86	533.07	2.0673
1.5	111.37	1.159	0.863	467.13	111.57	2693.36	643.30	2226.23	531.73	2.0768
1.5	111.37	1.159	0.863	467.13	111.57	2693.36	643.30	2226.23	531.73	2.0768
1.6	113.32	1.091	0.916	475.38	113.54	2696.25	643.99	2220.87	530.45	2.0860
1.7	115.17	1.031	0.970	483.22	115.42	2698.97	644.64	2215.75	529.22	2.0950
